species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Tryngites subruficollis,70.5,,20.1,
Turdus grayi,71.3,72.15,,
Turdus iliacus,63.3,,14.6,
Turdus merula,94.6,,17.3,
Turdus migratorius,84.9,77.3,23.5,
Turdus pilaris,106.7,,15.7,
Tympanuchus cupido,933.0,975.0,,
Tympanuchus pallidicinctus,743.0,,,
Tympanuchus phasianellus,953.0,900.0,,11.5
Tyrannus caudifasciatus,,44.4,,
Tyrannus couchii,,39.0,22.4,
Tyrannus crassirostris,56.4,,26.7,
Tyrannus dominicensis,,43.8,28.6,
Tyrannus forficatus,39.2,,13.8,
Tyrannus melancholicus,36.5,,18.6,
Tyrannus savana,32.0,30.3,,
Tyrannus tyrannus,42.8,,,
Tyrannus verticalis,38.5,,17.8,
Tyrannus vociferans,45.0,,19.7,
Tyto alba,314.0,,,
Upupa epops,66.9,,50.2,
Uria aalge,981.0,,44.6,
Uria lomvia,961.0,,14.0,
Vanellus chilensis,,352.5,,
Vanellus vanellus,211.0,,24.1,
Vermivora chrysoptera,9.3,,10.7,
Vidua macroura,16.0,,9.5,
Vireo altiloquus,,17.9,16.7,
Vireo bairdi,,12.0,,
Vireo bellii,10.3,8.5,,
Vireo brevipennis,,11.8,,
Vireo cassinii,,14.6,,
Vireo crassirostris,,13.1,,
Vireo flavifrons,,18.0,11.2,
Vireo gilvus,11.3,13.218,,
Vireo griseus,11.5,,10.0,
Vireo huttoni,10.8,11.6,,
Vireo latimeri,,11.2,,
Vireo magister,,15.4,,
Vireo nelsoni,,9.4,,
Vireo olivaceus,17.2,17.0895,,
Vireo pallens,,11.6,,
Vireo philadelphicus,,12.2,13.5,
Vireo plumbeus,15.8,,10.6,
Vireo solitarius,15.3,16.6,9.8,
Vireo vicinior,12.1,12.8,,
Xanthocephalus xanthocephalus,89.3,,22.7,
Xema sabini,194.0,,24.9,
Zenaida asiatica,,153.0,19.7,
Zenaida aurita,,159.0,,
Zenaida macroura,130.0,123.85,13.3,
Zonotrichia albicollis,26.4,27.1,11.4,
Zonotrichia atricapilla,31.7,,9.0,
Zonotrichia capensis,,20.35,,
Zonotrichia leucophrys,30.7,28.65,,
Zonotrichia querula,37.4,,9.5,
