species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Campylorhynchus brunneicapillus,,38.9,21.4,
Caprimulgus carolinensis,109.9,,12.5,
Caprimulgus ridgwayi,,48.0,15.5,
Caprimulgus vociferus,50.3,,6.5,
Cardellina rubrifrons,,9.8,8.6,
Cardinalis cardinalis,41.7,43.55,12.7,
Cardinalis sinuatus,37.0,36.85,16.0,
Carpodacus cassinii,26.9,,12.8,
Carpodacus mexicanus,21.4,,8.7,
Carpodacus purpureus,25.9,,10.64,
Cathartes aura,1426.0,,,
Catharus aurantiirostris,,27.0,,
Catharus fuscescens,43.3,30.9,13.5,
Catharus guttatus,,27.31,,
Catharus minimus,29.7,,13.2,
Catharus occidentalis,,23.77,,
Catharus ustulatus,29.7,29.9,8.67,
Catherpes mexicanus,11.4,,3.63,
Centrocercus urophasianus,3200.0,,41.0,
Cepphus columba,487.0,472.2,,
Cepphus grylle,376.0,,33.3,
Cercomacra tyrannina,17.5,17.75,,
Cerorhinca monocerata,510.0,,18.3,
Certhia americana,7.9,8.4,13.9,
Chaetura pelagica,,23.6,5.6,
Chaetura vauxi,,18.5,5.6,
Chamaea fasciata,15.3,,7.67,
Charadrius collaris,,,,
Charadrius hiaticula,63.5,,14.1,
Charadrius melodus,54.9,,,
Charadrius mongolus,,,18.6,
Charadrius montanus,102.0,,20.5,
Charadrius semipalmatus,46.1,,,
Charadrius vociferus,92.1,,20.2,
Charadrius wilsonia,59.0,,20.7,
Chiroxiphia linearis,18.9,17.0,,
Chlidonias niger,61.8,,27.8,
Chloroceryle americana,30.3,,48.3,
Chlorostilbon canivetii,2.6,,14.3,
Chondestes grammacus,28.3,,9.21,
Chondrohierax uncinatus,260.5,,,
Chordeiles acutipennis,,49.9,5.9,
Chordeiles gundlachii,,,6.7,
Chordeiles minor,,79.3,6.5,
Cinclus mexicanus,60.0,,17.5,
Circus cyaneus,346.0,,,
Cistothorus palustris,10.6,11.9,,
Cistothorus platensis,8.3,,6.95,
Clangula hyemalis,661.0,839.0,,
Claravis pretiosa,71.8,71.8,,
Coccyzus americanus,58.8,55.48,18.97,
Coccyzus erythropthalmus,45.8,46.14,16.84,
Coccyzus minor,64.3,,19.54,
Coereba flaveola,10.0,10.0,,
Colaptes auratus,139.6,128.63,26.02,
Colibri thalassinus,5.3,,21.6,
Colinus virginianus,173.0,178.8,,14.5
Columba livia,294.0,337.0,19.0,
Columbina inca,,54.4,,12.2
Columbina passerina,,37.0,11.7,
Columbina talpacoti,,46.5,,
Contopus pertinax,,27.2,19.13,
Contopus sordidulus,12.8,,12.1,
Contopus virens,,14.1,12.0,
Coragyps atratus,2159.0,,23.01,
Corvus brachyrhynchos,423.0,756.0,,
Corvus caurinus,410.0,,32.6,
Corvus corax,1254.0,,78.1,
Corvus cryptoleucus,556.0,,55.2,
Corvus monedula,234.0,,36.3,
Corvus ossifragus,299.9,,30.7,
Cotinga amabilis,74.0,66.0,,
Coturnicops noveboracensis,59.2,,14.2,
Crax rubra,4200.0,4200.0,,
Crex crex,169.0,,21.4,
Crotophaga ani,99.9,,30.5,
Crotophaga sulcirostris,79.0,86.0,29.0,
Crypturellus boucardi,418.0,,,
Crypturellus soui,198.0,,,
Cuculus canorus,117.0,,27.7,
Cyanerpes cyaneus,13.5,13.5,,
Cyanocitta cristata,72.8,,25.5,
Cyanocitta stelleri,96.0,119.0,31.0,
Cyanocompsa cyanoides,,30.0,,
Cyanocorax sanblasianus,,73.0,,
Cyanocorax yncas,88.3,73.0,24.9,
Cygnus atratus,6200.0,6200.0,70.8,
Cygnus buccinator,11400.0,,,
Cygnus columbianus,7258.0,7258.0,,
Cygnus cygnus,14000.0,9925.0,,
Cygnus olor,11800.0,11350.0,,
Cynanthus latirostris,3.3,,20.8,
Cynanthus sordidus,4.2,,20.0,
Cypseloides niger,,45.6,,6.6
Cyrtonyx montezumae,191.7,,8.62,
Dendragapus obscurus,1273.0,1295.0,20.0,
Dendrocygna arborea,,,,
Dendrocygna autumnalis,813.0,,,
Dendrocygna bicolor,675.0,688.0,46.2,
Diomedea exulans,9110.0,,170.0,
Dolichonyx oryzivorus,33.9,,14.3,
Dryocopus pileatus,324.8,,,
Dumetella carolinensis,35.7,35.0,,11.0
Egretta caerulea,364.0,364.0,75.9,
Egretta garzetta,555.0,,84.4,
Egretta gularis,400.0,,,98.0
Egretta rufescens,,613.5,,
Egretta thula,,369.0,83.3,
Egretta tricolor,296.0,,94.8,
Elaenia flavogaster,24.0,24.0,,
Elanoides forficatus,542.0,,,
Elanus leucurus,294.8,,,
Emberiza rustica,19.7,,13.7,
Empidonax affinis,,10.46,,
Empidonax alnorum,13.2,,,
Empidonax difficilis,,10.7,8.4,
Empidonax flaviventris,,11.3,,
Empidonax fulvifrons,8.1,,10.0,
Empidonax hammondii,10.6,10.1,,
Empidonax minimus,11.1,10.43,9.9,9.8
Empidonax oberholseri,,10.4,,
Empidonax occidentalis,,11.4,8.4,
Empidonax traillii,12.7,,9.12,
Empidonax virescens,12.8,,,
Empidonax wrightii,,12.5,,
Eremophila alpestris,39.9,,14.7,
Estrilda melpoda,7.9,,10.8,
Estrilda troglodytes,,7.7,9.9,
Eudocimus albus,1036.0,,142.0,
