,,,,,,,TAXONOMIC SOURCES,,,,,,,,,,,,,,,,,,,,
Tinamidae,Tinamous,Variegated Tinamou,Crypturellus variegatus,"(Gmelin, 1789)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,36,,,
Tinamidae,Tinamous,Rusty Tinamou,Crypturellus brevirostris,"(Pelzeln, 1863)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,37,,,
Tinamidae,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,"(Sclater & Salvin, 1873)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,38,,,
Tinamidae,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,"(Wagler, 1827)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,39,,,
Tinamidae,Tinamous,Barred Tinamou,Crypturellus casiquiare,"(Chapman, 1929)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,40,,,
Tinamidae,Tinamous,Tataupa Tinamou,Crypturellus tataupa,"(Temminck, 1815)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,41,,,
Tinamidae,Tinamous,,Rhynchotus rufescens,"(Temminck, 1815)",NR,NR,,,,,,,,,,Y,Y,,,,,,"Rhynchotus rufescens (Sibley and Monroe 1990, 1993) has been split into R. rufescens and R. maculicollis following SACC (2005).",42,,,
Tinamidae,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,"(Temminck, 1815)",R,LC,,,,,,,,,Y,,,,,,,,"Rhynchotus rufescens (Sibley and Monroe 1990, 1993) has been split into R. rufescens and R. maculicollis following SACC (2005).",32199,,,
Tinamidae,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,"G.R. Gray, 1867",R,LC,,,,,,,,,Y,,,,,,,,"Rhynchotus rufescens (Sibley and Monroe 1990, 1993) has been split into R. rufescens and R. maculicollis following SACC (2005).",31983,,,
Tinamidae,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,"Sclater & Salvin, 1875",R,VU,,,,,,,,,Y,Y,Y,,,,,,,43,,,
Tinamidae,Tinamous,,Nothoprocta kalinowskii,"Berlepsch & Stolzmann, 1901",NR,NR,,,,,,,,,,Y,Y,,,,,,"Nothoprocta kalinowskii (Sibley and Monroe 1990, 1993) is considered a synonym of N. ornata following Krabbe and Schulenberg (2005) and SACC (2007).",44,,,
Tinamidae,Tinamous,Ornate Tinamou,Nothoprocta ornata,"(Gray, 1867)",R,LC,,,,,,,,,Y,Y,Y,,,,,,"Nothoprocta kalinowskii (Sibley and Monroe 1990, 1993) is considered a synonym of N. ornata following Krabbe and Schulenberg (2005).",45,,,
Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,"(Gray, 1867)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,46,,,
Tinamidae,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,"(Burmeister, 1860)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,47,,,
