Vulpes bengalensis,1800.0
Vulpes corsac,2700.0
Vulpes vulpes,5662.5
Vulpes zerda,1200.0
Vulpes velox,2766.67
Acinonyx jubatus,58750.0
Caracal caracal,14000.0
Catopuma temminckii,11500.0
Felis chaus,10000.0
Felis margarita,2350.0
Felis silvestris,4150.0
Felis nigripes,2125.0
Herpailurus yaguarondi,6750.0
Leopardus wiedii,3666.67
Leopardus tigrinus,2250.0
Leopardus pardalis,8800.0
Leptailurus serval,13350.0
Lynx pardinus,9400.0
Lynx rufus,8600.0
Lynx lynx,18026.67
Lynx canadensis,8900.0
Neofelis nebulosa,19500.0
Oncifelis colocolo,2950.0
Oncifelis geoffroyi,4000.0
Otocolobus manul,3500.0
Panthera tigris,119700.0
Panthera onca,81150.0
Panthera leo,139500.0
Panthera pardus,42325.0
Pardofelis marmorata,3500.0
Prionailurus viverrinus,10850.0
Prionailurus rubiginosus,1350.0
Prionailurus bengalensis,4150.0
Profelis aurata,10650.0
Puma concolor,48000.0
Uncia uncia,45625.0
Atilax paludinosus,3300.0
Bdeogale crassicauda,1570.0
Crossarchus obscurus,727.0
Cynictis penicillata,598.5
Galerella pulverulenta,683.0
Galerella sanguinea,448.0
Galidia elegans,800.0
Galidictis fasciata,
Helogale parvula,274.8
Herpestes javanicus,800.0
Herpestes edwardsii,1008.0
Herpestes ichneumon,2920.0
Ichneumia albicauda,3150.0
Mungos mungo,1331.5
Mungotictis decemlineata,700.0
Paracynictis selousi,1800.0
Suricata suricatta,776.0
Crocuta crocuta,63000.0
Hyaena hyaena,40000.0
Parahyaena brunnea,60200.0
Proteles cristatus,10000.0
Amblonyx cinereus,3000.0
Aonyx congicus,24000.0
Aonyx capensis,11800.0
Arctonyx collaris,10500.0
Conepatus leuconotus,3500.0
Conepatus semistriatus,1200.0
Conepatus mesoleucus,1996.67
Eira barbara,4500.0
Enhydra lutris,21800.0
Galictis vittata,2350.0
Gulo gulo,16333.33
Ictonyx libyca,500.0
Ictonyx striatus,765.0
Lontra longicaudis,7500.0
Lontra felina,
Lontra canadensis,6225.0
Lutra maculicollis,4000.0
Lutra lutra,6750.0
Lutrogale perspicillata,9000.0
Martes flavigula,2500.0
Martes zibellina,1066.67
Martes foina,1700.0
Martes americana,606.67
Martes pennanti,2600.0
Martes martes,1300.0
Meles meles,13000.0
Mellivora capensis,10000.0
Melogale personata,2000.0
Mephitis macroura,965.0
Mephitis mephitis,1821.25
Mustela nigripes,809.0
Mustela lutreola,440.0
Mustela altaica,171.0
Mustela sibirica,405.0
Mustela vison,899.75
Mustela frenata,150.6
Mustela erminea,110.33
Mustela eversmannii,1350.0
Mustela putorius,588.67
Mustela nivalis,49.75
Poecilogale albinucha,257.5
Pteronura brasiliensis,24000.0
Spilogale pygmaea,260.0
Spilogale putorius,511.5
Taxidea taxus,6050.0
Vormela peregusna,542.5
Odobenus rosmarus,650000.0
Arctocephalus galapagoensis,27000.0
Arctocephalus tropicalis,50000.0
Arctocephalus forsteri,55000.0
Arctocephalus gazella,40500.0
Arctocephalus pusillus,77666.67
Arctocephalus australis,45000.0
Eumetopias jubatus,288932.5
Neophoca cinerea,79633.33
Otaria byronia,140000.0
Phocarctos hookeri,
Zalophus californianus,84666.67
Callorhinus ursinus,49100.0
Cystophora cristata,212000.0
Erignathus barbatus,286666.67
Halichoerus grypus,186000.0
Hydrurga leptonyx,398666.67
Leptonychotes weddellii,421666.67
Lobodon carcinophagus,238333.33
Mirounga leonina,579400.0
Mirounga angustirostris,716666.67
Monachus monachus,275000.0
Monachus schauinslandi,173000.0
Ommatophoca rossii,187666.67
Phoca largha,80000.0
Phoca caspica,86000.0
Phoca hispida,86140.0
